City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Umm Lajj,SA,25.02,37.27,69.42,52,0,7.23,clear sky
279,Egvekinot,RU,66.32,-179.17,8.47,84,36,4.63,scattered clouds
280,Kieta,PG,-6.22,155.63,84.63,70,30,3.8,scattered clouds
281,Green River,US,41.53,-109.47,44.6,24,1,8.05,clear sky
282,Aasiaat,GL,68.71,-52.87,20.64,93,99,6.15,overcast clouds
283,Mailani,IN,28.28,80.35,59.97,60,0,2.8,clear sky
284,Bilibino,RU,68.05,166.44,-1.55,89,74,3.4,broken clouds
285,Hovd,MN,48.01,91.64,-0.78,80,1,0.89,clear sky
286,Banda Aceh,ID,5.56,95.32,77.79,79,100,4.76,overcast clouds
287,Cabildo,AR,-38.48,-61.9,73.99,30,0,5.01,clear sky
288,Langham,CA,52.37,-106.97,28.0,73,5,11.41,clear sky
289,Mount Gambier,AU,-37.83,140.77,51.8,81,40,11.41,scattered clouds
290,Kalynivka,UA,49.45,28.53,22.37,90,0,13.4,clear sky
291,Katsuura,JP,35.13,140.3,48.0,75,20,9.17,few clouds
292,Antofagasta,CL,-23.65,-70.4,64.4,72,40,16.11,scattered clouds
293,Carballo,ES,43.21,-8.69,53.01,93,100,8.99,overcast clouds
294,Sao Domingos,BR,-13.4,-46.32,73.45,78,100,0.96,overcast clouds
295,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.0,88,75,12.75,broken clouds
296,Baykit,RU,61.67,96.37,9.01,91,100,6.76,overcast clouds
297,Nishihara,JP,26.18,127.76,71.6,94,90,5.82,light rain
298,Thunder Bay,CA,48.4,-89.32,30.99,86,90,6.93,light snow
299,Port-Cartier,CA,50.03,-66.87,28.4,86,100,20.8,snow
300,Jiancheng,CN,30.39,104.55,46.4,93,40,3.56,mist
301,Ancud,CL,-41.87,-73.82,68.0,60,0,6.93,clear sky
302,Portland,US,45.52,-122.68,48.99,95,45,0.38,scattered clouds
303,Khash,IR,28.22,61.22,53.33,50,0,8.84,clear sky
304,Dingle,PH,11.0,122.67,77.13,91,100,4.65,moderate rain
305,Benemerito De Las Americas,MX,16.52,-90.64,74.1,93,93,4.21,light rain
306,Yingcheng,CN,30.95,113.55,41.0,100,90,4.47,mist
307,Torbay,CA,47.67,-52.73,48.0,100,90,13.87,light rain
308,Constitucion,CL,-35.33,-72.42,58.73,78,18,11.14,few clouds
309,Macheng,CN,31.18,115.03,46.0,74,100,6.06,overcast clouds
310,Knyaze-Volkonskoye,RU,48.46,135.46,10.4,72,94,11.18,overcast clouds
311,Pacifica,US,37.61,-122.49,61.0,67,75,8.88,broken clouds
312,Visnes,NO,59.36,5.22,42.8,60,100,8.05,light rain
313,Aksu,CN,41.12,80.26,18.03,92,45,1.14,scattered clouds
314,Smithers,CA,54.78,-127.17,44.6,70,90,11.41,light rain
315,Puerto Colombia,CO,10.99,-74.95,84.2,79,20,8.05,few clouds
316,Ambanja,MG,-13.68,48.45,75.97,87,24,1.45,few clouds
317,Indianola,US,41.36,-93.56,37.4,74,90,9.17,overcast clouds
318,Alofi,NU,-19.06,-169.92,86.0,70,65,16.11,broken clouds
319,Yambio,SS,4.57,28.4,72.75,53,34,1.36,scattered clouds
320,Kudahuvadhoo,MV,2.67,72.89,82.38,78,100,11.61,overcast clouds
321,Langenburg,DE,49.25,9.85,33.8,96,100,5.82,light snow
322,Puerto Quijarro,BO,-17.78,-57.77,83.57,49,78,6.4,broken clouds
323,Sakakah,SA,29.97,40.21,51.8,71,0,5.95,clear sky
324,Ponta Delgada,PT,37.73,-25.67,59.0,72,75,8.05,broken clouds
325,Araguaina,BR,-7.19,-48.21,80.42,68,55,4.92,light rain
326,Solnechnyy,RU,50.72,136.63,7.77,84,0,2.82,clear sky
327,Wanaka,NZ,-44.7,169.15,66.0,42,19,5.99,few clouds
328,Los Llanos De Aridane,ES,28.66,-17.92,62.6,82,75,11.41,broken clouds
329,Bougouni,ML,11.42,-7.48,73.81,24,29,0.65,scattered clouds
330,Hualmay,PE,-11.1,-77.61,67.8,80,99,7.09,overcast clouds
331,Bathsheba,BB,13.22,-59.52,78.8,74,20,11.41,few clouds
332,Faya,SA,18.39,42.45,55.4,87,0,5.82,clear sky
333,Beringovskiy,RU,63.05,179.32,18.57,94,90,4.97,overcast clouds
334,Sur,OM,22.57,59.53,74.5,66,0,11.25,clear sky
335,Mackay,AU,-21.15,149.2,86.0,69,75,10.29,broken clouds
336,Yangambi,CD,0.81,24.43,72.39,80,9,1.41,clear sky
337,Broome,US,42.25,-75.83,28.99,79,90,8.05,overcast clouds
338,Great Bend,US,38.36,-98.76,51.8,43,1,9.17,clear sky
339,Storsteinnes,NO,69.24,19.23,28.4,100,75,8.05,light snow
340,Kirakira,SB,-10.45,161.92,84.09,71,90,3.69,light rain
341,Bubaque,GW,11.28,-15.83,82.44,68,0,15.55,clear sky
342,Pachino,IT,36.72,15.09,51.01,79,60,20.22,broken clouds
343,Arlit,NE,18.74,7.39,74.28,22,0,1.88,clear sky
344,Shakawe,BW,-18.37,21.85,74.41,71,93,7.16,overcast clouds
345,Teguldet,RU,57.31,88.17,8.2,94,100,11.39,overcast clouds
346,Alihe,CN,50.57,123.72,1.11,88,0,4.05,clear sky
347,Mount Isa,AU,-20.73,139.5,86.0,20,75,12.75,broken clouds
348,Gibara,CU,21.11,-76.13,82.4,65,20,10.29,few clouds
349,Enshi,CN,30.3,109.48,45.05,82,100,0.96,overcast clouds
350,Chapais,CA,49.78,-74.85,15.8,92,90,8.05,light snow
351,La Ronge,CA,55.1,-105.28,35.6,47,0,5.82,clear sky
352,Maceio,BR,-9.67,-35.74,75.2,83,20,5.82,few clouds
353,Excelsior Springs,US,39.34,-94.23,46.4,71,1,9.17,clear sky
354,Ilulissat,GL,69.22,-51.1,21.2,57,100,18.34,overcast clouds
355,Harlingen,US,26.19,-97.7,68.0,42,1,8.05,clear sky
356,Camara De Lobos,PT,32.63,-16.97,60.8,77,40,11.41,light intensity shower rain
357,Coro,VE,11.4,-69.67,79.21,82,29,13.51,scattered clouds
358,Broken Hill,AU,-31.95,141.43,62.6,45,0,19.46,clear sky
359,Beloha,MG,-25.17,45.05,71.92,86,96,10.4,overcast clouds
360,Henties Bay,NA,-22.12,14.28,61.0,87,1,2.35,clear sky
361,Rio Gallegos,AR,-51.62,-69.22,69.8,32,75,25.28,shower rain
362,Tarakan,ID,3.3,117.63,79.21,84,100,7.05,overcast clouds
