City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Montepuez,MZ,2020-12-02 3:47,-13.13,39,73.02,86,99,5.46
295,Oskemen,KZ,2020-12-02 3:47,49.96,82.61,-9.4,83,40,0.22
296,Paka,MY,2020-12-02 3:47,4.64,103.44,86,74,40,4.7
297,Praia Da Vitoria,PT,2020-12-02 3:47,38.73,-27.07,60.8,87,75,32.66
298,Broken Hill,AU,2020-12-02 3:47,-31.95,141.43,64.4,34,75,14.99
299,Tazovskiy,RU,2020-12-02 3:47,67.47,78.7,12.83,96,100,17.54
300,Progreso,MX,2020-12-02 3:47,21.28,-89.67,69.8,73,40,6.93
301,Puerto Madero,MX,2020-12-02 3:47,14.72,-92.42,77,100,20,2.98
302,Shache,CN,2020-12-02 3:47,38.42,77.24,28.65,81,10,1.54
303,Barrow,US,2020-12-02 3:45,71.29,-156.79,6.8,77,90,18.34
304,Khani,GE,2020-12-02 3:47,41.96,42.96,48.2,67,40,9.17
305,Vestmannaeyjar,IS,2020-12-02 3:47,63.44,-20.27,37.99,76,81,24.16
306,Matane,CA,2020-12-02 3:47,48.83,-67.52,50,93,100,11.41
307,Sabang,ID,2020-12-02 3:47,5.89,95.32,82.31,72,48,1.97
308,Port Hardy,CA,2020-12-02 3:45,50.7,-127.42,44.6,86,20,3.36
309,Broome,US,2020-12-02 3:47,42.25,-75.83,33.01,86,90,13.87
310,Aasiaat,GL,2020-12-02 3:47,68.71,-52.87,16.84,93,97,3.49
311,Pitimbu,BR,2020-12-02 3:43,-7.47,-34.81,78.8,83,20,8.05
312,Oriximina,BR,2020-12-02 3:47,-1.77,-55.87,75.52,86,47,3.65
313,Khandbari,NP,2020-12-02 3:47,27.37,87.2,69.6,40,2,2.68
314,Bhaderwah,IN,2020-12-02 3:47,32.98,75.72,57.33,35,0,2.17
315,Tselina,RU,2020-12-02 3:47,46.53,41.03,34.81,87,99,17.94
316,Faanui,PF,2020-12-02 3:47,-16.48,-151.75,80.1,80,9,15.21
317,Fort Nelson,CA,2020-12-02 3:45,58.81,-122.7,24.8,92,75,3.36
318,Cayenne,GF,2020-12-02 3:47,4.93,-52.33,77,100,0,2.24
319,Komsomolskiy,UZ,2020-12-02 3:47,40.43,71.72,37.4,74,100,4.7
320,Kousseri,CM,2020-12-02 3:47,12.08,15.03,64.4,27,7,6.93
321,Sindou,BF,2020-12-02 3:47,10.67,-5.17,70.16,23,0,2.51
