City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Port Moresby,PG,82.4,few clouds,-9.44,147.18,Lamana Hotel
591,Buala,SB,83.59,light rain,-8.14,159.59,Maringe Lagoon Lodge
592,Catuday,PH,79.25,overcast clouds,16.29,119.81,GResort
596,Sola,VU,84.2,scattered clouds,-13.88,167.55,Ulkel Guest House
597,Basco,PH,77.63,overcast clouds,20.45,121.97,Nathaniel's Lodge
598,Presidente Venceslau,BR,80.6,broken clouds,-21.88,-51.84,K. Hotéis
599,Takoradi,GH,79.14,clear sky,4.88,-1.76,Raybow International Hotel
612,Palimbang,PH,80.85,broken clouds,6.21,124.19,Felmar Beach resort
613,Tual,ID,83.88,moderate rain,-5.67,132.75,Grand Vilia Hotel
614,Amahai,ID,87.01,overcast clouds,-3.33,128.92,HOTEL ISABELA
617,Gusau,NG,77.83,broken clouds,12.16,6.66,Dr. Salisu Ibrahim
628,Mandeville,JM,80.6,few clouds,18.04,-77.51,Mandeville Hotel
629,Luwuk,ID,81.52,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
634,Batticaloa,LK,76.91,heavy intensity rain,7.71,81.69,Grand Star Guest House
644,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
654,La Cruz,MX,78.01,clear sky,23.92,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
655,Barranca De Upia,CO,75.54,broken clouds,4.57,-72.97,HOTEL GUAICARAMO
658,Noumea,NC,87.8,broken clouds,-22.28,166.46,Hôtel Le Lagon
660,Diffa,NE,76.62,scattered clouds,13.32,12.61,ProDAF/Diffa
663,Kismayo,SO,80.29,clear sky,-0.36,42.55,Agan-Hotel
667,Monrovia,LR,77.0,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
668,Governador Valadares,BR,75.15,overcast clouds,-18.85,-41.95,Hotel Panorama
672,Carutapera,BR,79.81,overcast clouds,-1.2,-46.02,Lidera
676,Bambanglipuro,ID,78.64,light rain,-7.95,110.28,Puri Brata
